1,10TACLE Studios
2,1C Company
3,3DO
4,505 Games
5,5pb
6,Acclaim Entertainment
7,Activision
8,Banpresto
9,Bethesda Softworks
10,Capcom
11,ChunSoft
12,Codemasters
13,D3Publisher
14,Disney Interactive Studios
15,Eidos Interactive
16,Electronic Arts
17,Falcom Corporation
18,Game Factory
19,GSP
20,Hudson Soft
21,Human Entertainment
22,Idea Factory
23,Ignition Entertainment
24,JoWood Productions
25,Kadokawa Shoten
26,Knowledge Adventure
27,Konami Digital Entertainment
28,Liquid Games
29,LucasArts
30,Majesco Entertainment
31,Marvelous Interactive
32,Microsoft Game Studios
33,Midway Games
34,Mojang
35,Namco Bandai Games
36,NCS
37,Nintendo
38,Nippon Ichi Software
39,Ocean
40,Parker Bros.
41,Play It
42,PopCap Games
43,Rising Star Games
44,Sega
45,SNK Playmore
46,Sony Computer Entertainment
47,Take-Two Interactive
48,Ubisoft
49,Warner Bros. Interactive Entertainment
50,Zushi Games
